Name,Ticker,Coupon,Maturity,Maturity Type,Country/Region,Currency,Identifier,Bloomberg Composite Rating,Ask Price,Source
India Government Bond,IGB,6.94,11-05-2036,AT MATURITY,IN,INR,DK1929472,NR,100.73,NDSI
India Government Bond,IGB,6.36,16-02-2031,AT MATURITY,IN,INR,YI9214911,NR,99.66,NDSI
India Government Bond,IGB,6.68,07-07-2040,AT MATURITY,IN,INR,YN8871314,NR,97,NDSI
India Government Bond,IGB,7.24,18-08-2055,AT MATURITY,IN,INR,YL1902912,NR,97.35,NDSI
India Government Bond,IGB,6.48,06-10-2035,AT MATURITY,IN,INR,YK5530604,NR,97.7,NDSI
India Government Bond,IGB,7.04,03-06-2029,AT MATURITY,IN,INR,YX3882629,NR,101.95,NDSI
India Government Bond,IGB,7.18,24-07-2037,AT MATURITY,IN,INR,ZJ8780851,NR,102.66,NDSI
India Government Bond,IGB,6.03,27-01-2029,AT MATURITY,IN,INR,YI1775547,NR,99.67,NDSI
India Government Bond,IGB,6.9,15-04-2065,AT MATURITY,IN,INR,YP2458634,NR,91.45,NDSI
India Government Bond,IGB,7.38,20-06-2027,AT MATURITY,IN,INR,BX1740881,NR,101.38,NDSI
India Government Bond,IGB,6.33,05-05-2035,AT MATURITY,IN,INR,YO0526393,NR,97.19,NDSI
India Government Bond,IGB,7.06,27-07-2041,AT MATURITY,IN,INR,DN4670606,#N/A N/A,100.36,NDSI
India Government Bond,IGB,6.79,07-10-2034,AT MATURITY,IN,INR,YU1897757,NR,100.08,NDSI
India Government Bond,IGB,7.43,19-01-2076,AT MATURITY,IN,INR,DC9773292,NR,98.05,NDSI
India Government Bond,IGB,7.17,17-04-2030,AT MATURITY,IN,INR,ZK1408242,NR,102.49,NDSI
India Government Bond,IGB,7.26,14-01-2029,AT MATURITY,IN,INR,AW5669295,#N/A N/A,102.4,NDSI
India Government Bond,IGB,6.01,21-07-2030,AT MATURITY,IN,INR,YM3616567,NR,98.7975,NDSI
India Government Bond,IGB,5.74,15-11-2026,AT MATURITY,IN,INR,BS3776975,NR,100.1,NDSI
India Government Bond,IGB,7.18,14-08-2033,AT MATURITY,IN,INR,ZI2598574,NR,102.75,NDSI
India Government Bond,IGB,7.09,05-08-2054,AT MATURITY,IN,INR,YW7593752,NR,95.6775,NDSI
India Government Bond,IGB,6.68,27-01-2033,AT MATURITY,IN,INR,YI1775539,NR,100.25,NDSI
India Government Bond,IGB,7.17,08-01-2028,AT MATURITY,IN,INR,AQ5842770,#N/A N/A,101.725,NDSI
India Government Bond,IGB,7.36,12-09-2052,AT MATURITY,IN,INR,BY8961033,NR,99.15,NDSI
India Government Bond,IGB,7.3,19-06-2053,AT MATURITY,IN,INR,ZK9672989,NR,98.14,NDSI
India Government Bond,IGB,7.26,06-02-2033,AT MATURITY,IN,INR,ZM7643111,NR,103.6,NDSI
India Government Bond,IGB,7.71,18-05-2066,AT MATURITY,IN,INR,DK6328332,NR,102.2,NDSI
India Government Bond,IGB,7.37,23-10-2028,AT MATURITY,IN,INR,ZH5750455,NR,102.65,NDSI
India Government Bond,IGB,7.41,19-12-2036,AT MATURITY,IN,INR,ZN8999213,NR,104.15,NDSI
India Government Bond,IGB,7.02,18-06-2031,AT MATURITY,IN,INR,YX6685250,NR,102.5,NDSI
India Government Bond,IGB,6.54,17-01-2032,AT MATURITY,IN,INR,BT4506932,NR,100.2,NDSI
India Government Bond,IGB,6.75,22-09-2033,AT MATURITY,IN,INR,BK0919765,NR,103.9275,NDSI
India Government Bond,IGB,7.1,08-04-2034,AT MATURITY,IN,INR,ZB1743689,NR,102.1,NDSI
India Government Bond,IGB,7.06,10-04-2028,AT MATURITY,IN,INR,ZK0724581,NR,101.69,NDSI
India Government Bond,IGB,7.54,23-05-2036,AT MATURITY,IN,INR,BW5990245,NR,#N/A N/A,NDSI
India Government Bond,IGB,6.75,23-12-2029,AT MATURITY,IN,INR,YS0770992,NR,101.25,NDSI
India Government Bond,IGB,6.67,17-12-2050,AT MATURITY,IN,INR,BM1186626,NR,92,NDSI
India Government Bond,IGB,6.99,15-12-2051,AT MATURITY,IN,INR,BS3777023,NR,94.88,NDSI
India Government Bond,IGB,7.25,12-06-2063,AT MATURITY,IN,INR,ZK9005677,NR,95.9,NDSI
India Government Bond,IGB,7.26,22-08-2032,AT MATURITY,IN,INR,BY4725150,NR,#N/A N/A,NDSI
India Government Bond,IGB,6.79,30-12-2031,AT MATURITY,IN,INR,YS2551838,NR,101.6,NDSI
India Government Bond,IGB,7.34,22-04-2064,AT MATURITY,IN,INR,ZB4861140,NR,97,NDSI
